item_id,name,critical_short,bio,bio_spr,critical_spillover,critical_world,,asterisk,pro,verb_match,adj,np,spillover,spill1,spill2,period,post_verb,critical_full,name_original,name_lenth,gender,lifetime,lifetime_distractor,type,tense,mm,list,match,bare,Unique_ID,prac_correct,prac_incorrect
10,Elton John,He*has performed*in numerous*music festivals.,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He*lives*in Windsor.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.","Elton John*has performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,has performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He has performed in numerous music festivals through the years.,Elton John,10,male,alive,dead,critical,PP,livingPP,1,yes,perform,110013,crit,crit
10,Elton John,He*performed*in numerous*music festivals.,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He*lives*in Windsor.,"He*performed*in numerous*music festivals,*as reported by*his biographer.","Elton John*performed*in numerous*music festivals,*as reported by*his biographer.",His musical talents began at an early age.,4,He,performed,in numerous,music festivals,through the years,as reported by,his biographer,0,in numerous music festivals through the years.,He performed in numerous music festivals through the years.,Elton John,10,male,alive,dead,critical,PS,livingPS,2,yes,perform,110024,crit,crit
13,Amy Winehouse,She*performed*in prestigious*arenas.,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She*died*in London.,"She*performed*in prestigious*arenas,*so her*website states.","Amy Winehouse*performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Amy Winehouse,13,female,dead,alive,critical,PS,deadPS,1,no,perform,113124,crit,crit
13,Amy Winehouse,She*has performed*in prestigious*arenas.,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She*died*in London.,"She*has performed*in prestigious*arenas,*so her*website states.","Amy Winehouse*has performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Amy Winehouse,13,female,dead,alive,critical,PP,deadPP,4,no,perform,113113,crit,crit
13,Beyoncé,She*has performed*in prestigious*arenas.,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She*lives*in Los Angeles.,"She*has performed*in prestigious*arenas,*so her*website states.","Beyoncé*has performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,has performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She has performed in prestigious arenas over time.,Beyoncé,7,female,alive,dead,critical,PP,livingPP,2,yes,perform,113011,crit,crit
13,Beyoncé,She*performed*in prestigious*arenas.,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She*lives*in Los Angeles.,"She*performed*in prestigious*arenas,*so her*website states.","Beyoncé*performed*in prestigious*arenas,*so her*website states.",Her songs are recognised around the world.,4,She,performed,in prestigious,arenas,over time,so her,website states,0,in prestigious arenas over time.,She performed in prestigious arenas over time.,Beyoncé,7,female,alive,dead,critical,PS,livingPS,3,yes,perform,113022,crit,crit
22,David Bowie,He*has played*numerous*concerts.,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He*died*in New York.,"He*has played*numerous*concerts,*according to*his memoir.","David Bowie*has played*numerous*concerts,*according to*his memoir.",His early years were infamously ,4,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,David Bowie,11,male,dead,alive,critical,PP,deadPP,1,no,play,122111,crit,crit
22,David Bowie,He*played*numerous*concerts.,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He*died*in New York.,"He*played*numerous*concerts,*according to*his memoir.","David Bowie*played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,David Bowie,11,male,dead,alive,critical,PS,deadPS,2,no,play,122122,crit,crit
22,Mick Jagger,He*has played*numerous*concerts.,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He*lives*in London.,"He*has played*numerous*concerts,*according to*his memoir.","Mick Jagger*has played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,has played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He has played numerous concerts in his lifetime.,Mick Jagger,11,male,alive,dead,critical,PP,livingPP,3,yes,play,122013,crit,crit
22,Mick Jagger,He*played*numerous*concerts.,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He*lives*in London.,"He*played*numerous*concerts,*according to*his memoir.","Mick Jagger*played*numerous*concerts,*according to*his memoir.",His early stage performances were legendary.,4,He,played,numerous,concerts,in his lifetime,according to,his memoir,0,numerous concerts in his lifetime.,He played numerous concerts in his lifetime.,Mick Jagger,11,male,alive,dead,critical,PS,livingPS,4,yes,play,122024,crit,crit
23,Janis Joplin,She*has played*in numerous*packed arenas.,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She*died*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.","Janis Joplin*has played*in numerous*packed arenas,*as stated in*her biography.",,4,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janis Joplin,12,female,dead,alive,critical,PP,deadPP,2,no,play,123114,crit,crit
23,Janis Joplin,She*played*in numerous*packed arenas.,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She*died*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.","Janis Joplin*played*in numerous*packed arenas,*as stated in*her biography.",,4,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janis Joplin,12,female,dead,alive,critical,PS,deadPS,3,no,play,123123,crit,crit
23,Janet Jackson,She*played*in numerous*packed arenas.,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She*lives*in Los Angeles.,"She*played*in numerous*packed arenas,*as stated in*her biography.","Janet Jackson*played*in numerous*packed arenas,*as stated in*her biography.",Her contributions to music earned her a,4,She,played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She played in numerous packed arenas in her career.,Janet Jackson,13,female,alive,dead,critical,PS,livingPS,1,yes,play,123021,crit,crit
23,Janet Jackson,She*has played*in numerous*packed arenas.,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She*lives*in Los Angeles.,"She*has played*in numerous*packed arenas,*as stated in*her biography.","Janet Jackson*has played*in numerous*packed arenas,*as stated in*her biography.",,4,She,has played,in numerous,packed arenas,in her career,as stated in,her biography,0,in numerous packed arenas in her career.,She has played in numerous packed arenas in her career.,Janet Jackson,13,female,alive,dead,critical,PP,livingPP,4,yes,play,123012,crit,crit
28,Sir Christopher Lee,He*has received*prestigious*acting awards.,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He*died*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.","Sir Christopher Lee*has received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Sir Christopher Lee,19,male,dead,alive,critical,PP,deadPP,3,no,receive,128112,crit,crit
28,Sir Christopher Lee,He*received*prestigious*acting awards.,Sir Christopher Lee was a British actor. He died in London.,Sir Christopher Lee*was*a British*actor.*He*died*in London.,"He*received*prestigious*acting awards,*as reported by*his website.","Sir Christopher Lee*received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Sir Christopher Lee,19,male,dead,alive,critical,PS,deadPS,4,no,receive,128121,crit,crit
28,Benedict Cumberbatch,He*has received*prestigious*acting awards.,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He*lives*in London.,"He*has received*prestigious*acting awards,*as reported by*his website.","Benedict Cumberbatch*has received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,has received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He has received prestigious acting awards through the years.,Benedict Cumberbatch,20,male,alive,dead,critical,PP,livingPP,1,yes,receive,128014,crit,crit
28,Benedict Cumberbatch,He*received*prestigious*acting awards.,Benedict Cumberbatch is a British actor. He lives in London.,Benedict Cumberbatch*is*a British*actor.*He*lives*in London.,"He*received*prestigious*acting awards,*as reported by*his website.","Benedict Cumberbatch*received*prestigious*acting awards,*as reported by*his website.",His performances earned him a CBE. ,4,He,received,prestigious,acting awards,through the years,as reported by,his website,0,prestigious acting awards through the years.,He received prestigious acting awards through the years.,Benedict Cumberbatch,20,male,alive,dead,critical,PS,livingPS,2,yes,receive,128023,crit,crit
31,Mother Teresa,She*received*prestigious*activism awards.,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.","Mother Teresa*received*prestigious*activism awards,*so her*Wikipedia page states.",Her charitable work ,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Mother Teresa,13,female,dead,alive,critical,PS,deadPS,1,no,receive,131123,crit,crit
31,Mother Teresa,She*has received*prestigious*activism awards.,Mother Teresa was an Albanian-Indian missionary. She died in Kolkata.,Mother Teresa*was*an Albanian-Indian*missionary.*She*died*in Kolkata.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.","Mother Teresa*has received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Mother Teresa,13,female,dead,alive,critical,PP,deadPP,4,no,receive,131114,crit,crit
31,Malala,She*has received*prestigious*activism awards.,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani*activist.*She*lives*in Birmingham.,"She*has received*prestigious*activism awards,*so her*Wikipedia page states.","Malala*has received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,has received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She has received prestigious activism awards over time.,Malala,6,female,alive,dead,critical,PP,livingPP,2,yes,receive,131012,crit,crit
31,Malala,She*received*prestigious*activism awards.,Malala is a Pakistani activist. She lives in Birmingham.,Malala*is*a Pakistani*activist.*She*lives*in Birmingham.,"She*received*prestigious*activism awards,*so her*Wikipedia page states.","Malala*received*prestigious*activism awards,*so her*Wikipedia page states.",,4,She,received,prestigious,activism awards,over time,so her,Wikipedia page states,0,prestigious activism awards over time.,She received prestigious activism awards over time.,Malala,6,female,alive,dead,critical,PS,livingPS,3,yes,receive,131021,crit,crit
35,Romy Schneider,She*has released*well-received*movies.,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She*died*in Paris.,"She*has released*well-received*movies,*according to*her biographer.","Romy Schneider*has released*well-received*movies,*according to*her biographer.",,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Romy Schneider,14,female,dead,alive,critical,PP,deadPP,1,no,release,135114,crit,crit
35,Romy Schneider,She*released*well-received*movies.,Romy Schneider was an Austrian actor. She died in Paris.,Romy Schneider*was*an Austrian*actor.*She*died*in Paris.,"She*released*well-received*movies,*according to*her biographer.","Romy Schneider*released*well-received*movies,*according to*her biographer.",,4,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Romy Schneider,14,female,dead,alive,critical,PS,deadPS,2,no,release,135123,crit,crit
35,Meryl Streep,She*has released*well-received*movies.,Meryl Streep is an American actor. She lives in Connecticut.,Meryl Streep*is*an American*actor.*She*lives*in Connecticut.,"She*has released*well-received*movies,*according to*her biographer.","Meryl Streep*has released*well-received*movies,*according to*her biographer.",,4,She,has released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She has released well-received movies in her lifetime.,Meryl Streep,12,female,alive,dead,critical,PP,livingPP,3,yes,release,135012,crit,crit
35,Meryl Streep,She*released*well-received*movies.,Meryl Streep is an American actor. She lives in Connecticut.,Meryl Streep*is*an American*actor.*She*lives*in Connecticut.,"She*released*well-received*movies,*according to*her biographer.","Meryl Streep*released*well-received*movies,*according to*her biographer.",,4,She,released,well-received,movies,in her lifetime,according to,her biographer,0,well-received movies in her lifetime.,She released well-received movies in her lifetime.,Meryl Streep,12,female,alive,dead,critical,PS,livingPS,4,yes,release,135021,crit,crit
39,Agatha Christie,She*has released*critically acclaimed*novels.,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She*died*in Oxfordshire.,"She*has released*critically acclaimed*novels,*as stated on*her website.","Agatha Christie*has released*critically acclaimed*novels,*as stated on*her website.",,4,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,Agatha Christie,15,female,dead,alive,critical,PP,deadPP,2,no,release,139114,crit,crit
39,Agatha Christie,She*released*critically acclaimed*novels.,Agatha Christie was a British author. She died in Oxfordshire.,Agatha Christie*was*a British*author.*She*died*in Oxfordshire.,"She*released*critically acclaimed*novels,*as stated on*her website.","Agatha Christie*released*critically acclaimed*novels,*as stated on*her website.",,4,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,Agatha Christie,15,female,dead,alive,critical,PS,deadPS,3,no,release,139123,crit,crit
39,J.K. Rowling,She*released*critically acclaimed*novels.,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She*lives*in Scotland.,"She*released*critically acclaimed*novels,*as stated on*her website.","J.K. Rowling*released*critically acclaimed*novels,*as stated on*her website.",,4,She,released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She released critically acclaimed novels in her career.,J.K. Rowling,12,female,alive,dead,critical,PS,livingPS,1,yes,release,139021,crit,crit
39,J.K. Rowling,She*has released*critically acclaimed*novels.,J.K. Rowling is a British author. She lives in Scotland.,J.K. Rowling*is*a British*author.*She*lives*in Scotland.,"She*has released*critically acclaimed*novels,*as stated on*her website.","J.K. Rowling*has released*critically acclaimed*novels,*as stated on*her website.",,4,She,has released,critically acclaimed,novels,in her career,as stated on,her website,0,critically acclaimed novels in her career.,She has released critically acclaimed novels in her career.,J.K. Rowling,12,female,alive,dead,critical,PP,livingPP,4,yes,release,139012,crit,crit
42,Mark Twain,He*has sold*well-received*novels.,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He*died*in Connecticut.,"He*has sold*well-received*novels,*as reported by*Wikipedia.","Mark Twain*has sold*well-received*novels,*as reported by*Wikipedia.",,4,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,Mark Twain,10,male,dead,alive,critical,PP,deadPP,3,no,sell,142111,crit,crit
42,Mark Twain,He*sold*well-received*novels.,Mark Twain was an American author. He died in Connecticut.,Mark Twain*was*an American*author.*He*died*in Connecticut.,"He*sold*well-received*novels,*as reported by*Wikipedia.","Mark Twain*sold*well-received*novels,*as reported by*Wikipedia.",,4,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,Mark Twain,10,male,dead,alive,critical,PS,deadPS,4,no,sell,142122,crit,crit
42,George R.R. Martin,He*has sold*well-received*novels.,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He*lives*in Santa Fe.,"He*has sold*well-received*novels,*as reported by*Wikipedia.","George R.R. Martin*has sold*well-received*novels,*as reported by*Wikipedia.",,4,He,has sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He has sold well-received novels through the years.,George R.R. Martin,18,male,alive,dead,critical,PP,livingPP,1,yes,sell,142013,crit,crit
42,George R.R. Martin,He*sold*well-received*novels.,George R.R. Martin is an American author. He lives in Santa Fe.,George R.R. Martin*is*an American*author.*He*lives*in Santa Fe.,"He*sold*well-received*novels,*as reported by*Wikipedia.","George R.R. Martin*sold*well-received*novels,*as reported by*Wikipedia.",,4,He,sold,well-received,novels,through the years,as reported by,Wikipedia,0,well-received novels through the years.,He sold well-received novels through the years.,George R.R. Martin,18,male,alive,dead,critical,PS,livingPS,2,yes,sell,142024,crit,crit
45,Prince,He*sold*popular*records.,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He*died*in Minnesota.,"He*sold*popular*records,*so his*memoir says.","Prince*sold*popular*records,*so his*memoir says.",,4,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Prince,6,male,dead,alive,critical,PS,deadPS,1,no,sell,145124,crit,crit
45,Prince,He*has sold*popular*records.,Prince was an American singer. He died in Minnesota.,Prince*was*an American*singer.*He*died*in Minnesota.,"He*has sold*popular*records,*so his*memoir says.","Prince*has sold*popular*records,*so his*memoir says.",,4,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Prince,6,male,dead,alive,critical,PP,deadPP,4,no,sell,145113,crit,crit
45,Kendrick Lamar,He*has sold*popular*records.,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He*lives*in Los Angeles.,"He*has sold*popular*records,*so his*memoir says.","Kendrick Lamar*has sold*popular*records,*so his*memoir says.",,4,He,has sold,popular,records,over time,so his,memoir says,0,popular records over time.,He has sold popular records over time.,Kendrick Lamar,14,male,alive,dead,critical,PP,livingPP,2,yes,sell,145011,crit,crit
45,Kendrick Lamar,He*sold*popular*records.,Kendrick Lamar is an American singer. He lives in Los Angeles.,Kendrick Lamar*is*an American*singer.*He*lives*in Los Angeles.,"He*sold*popular*records,*so his*memoir says.","Kendrick Lamar*sold*popular*records,*so his*memoir says.",,4,He,sold,popular,records,over time,so his,memoir says,0,popular records over time.,He sold popular records over time.,Kendrick Lamar,14,male,alive,dead,critical,PS,livingPS,3,yes,sell,145022,crit,crit
49,Jimmy Stewart,He*has starred*in critically acclaimed*film productions.,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He*died*in Beverly Hills.,"He*has starred*in critically acclaimed*film productions,*according to*his website.","Jimmy Stewart*has starred*in critically acclaimed*film productions,*according to*his website.",,4,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,13,male,dead,alive,critical,PP,deadPP,1,no,star,149113,crit,crit
49,Jimmy Stewart,He*starred*in critically acclaimed*film productions.,Jimmy Stewart was an American actor. He died in Beverly Hills.,Jimmy Stewart*was*an American*actor.*He*died*in Beverly Hills.,"He*starred*in critically acclaimed*film productions,*according to*his website.","Jimmy Stewart*starred*in critically acclaimed*film productions,*according to*his website.",,4,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Jimmy Stewart,13,male,dead,alive,critical,PS,deadPS,2,no,star,149124,crit,crit
49,Brad Pitt,He*has starred*in critically acclaimed*film productions.,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He*lives*in Los Angeles.,"He*has starred*in critically acclaimed*film productions,*according to*his website.","Brad Pitt*has starred*in critically acclaimed*film productions,*according to*his website.",,4,He,has starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He has starred in critically acclaimed film productions in his lifetime.,Brad Pitt,9,male,alive,dead,critical,PP,livingPP,3,yes,star,149011,crit,crit
49,Brad Pitt,He*starred*in critically acclaimed*film productions.,Brad Pitt is an American actor. He lives in Los Angeles.,Brad Pitt*is*an American*actor.*He*lives*in Los Angeles.,"He*starred*in critically acclaimed*film productions,*according to*his website.","Brad Pitt*starred*in critically acclaimed*film productions,*according to*his website.",,4,He,starred,in critically acclaimed,film productions,in his lifetime,according to,his website,0,in critically acclaimed film productions in his lifetime.,He starred in critically acclaimed film productions in his lifetime.,Brad Pitt,9,male,alive,dead,critical,PS,livingPS,4,yes,star,149022,crit,crit
54,Alan Rickman,He*has starred*in well-received*dramas.,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He*died*in London.,"He*has starred*in well-received*dramas,*as stated on*Wikipedia.","Alan Rickman*has starred*in well-received*dramas,*as stated on*Wikipedia.",,4,He,has starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He has starred in well-received dramas in his career.,Alan Rickman,12,male,dead,alive,critical,PP,deadPP,2,no,star,154111,crit,crit
54,Alan Rickman,He*starred*in well-received*dramas.,Alan Rickman was a British actor. He died in London.,Alan Rickman*was*a British*actor.*He*died*in London.,"He*starred*in well-received*dramas,*as stated on*Wikipedia.","Alan Rickman*starred*in well-received*dramas,*as stated on*Wikipedia.",,4,He,starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He starred in well-received dramas in his career.,Alan Rickman,12,male,dead,alive,critical,PS,deadPS,3,no,star,154122,crit,crit
54,Denzel Washington,He*starred*in well-received*dramas.,Denzel Washington is an American actor. He lives in Los Angeles.,Denzel Washington*is*an American*actor.*He*lives*in Los Angeles.,"He*starred*in well-received*dramas,*as stated on*Wikipedia.","Denzel Washington*starred*in well-received*dramas,*as stated on*Wikipedia.",His ,4,He,starred,in well-received,dramas,in his career,as stated on,Wikipedia,0,in well-received dramas in his career.,He starred in well-received dramas in his career.,Denzel Washington,17,male,alive,dead,critical,PS,livingPS,1,yes,star,154024,crit,crit
